student_id,name,gender,birthdate,grade_level,enrollment_date,school
S1000,Rebecca Padilla,Non-binary,2011-03-20,8,2022-05-15,Washington Middle School
S1001,Tonya Duran,Non-binary,2014-03-04,8,2021-06-20,Lincoln Middle School
S1002,Alison Haynes,M,2013-01-26,7,2020-12-09,Lincoln Middle School
S1003,Dr. Cindy Blanchard,M,2014-01-22,8,2020-06-03,Lincoln Middle School
S1004,Ricardo Buckley,Non-binary,2014-01-23,7,2022-03-21,Washington Middle School
S1005,Morgan Mcdonald,F,2014-02-19,7,2021-04-11,Lincoln Middle School
S1006,Kim Livingston,Non-binary,2011-04-13,6,2020-11-22,Lincoln Middle School
S1007,Christopher Summers,Non-binary,2012-09-20,8,2021-04-09,Lincoln Middle School
S1008,James Lee,Non-binary,2012-12-01,8,2021-05-12,Lincoln Middle School
S1009,Laurie Elliott,M,2010-08-05,6,2020-12-22,Lincoln Middle School
S1010,Justin Nelson,F,2010-07-10,7,2021-08-30,Washington Middle School
S1011,Samantha Nunez,F,2011-08-02,7,2021-10-27,Washington Middle School
S1012,Rhonda Robertson,F,2012-03-04,7,2022-01-12,Roosevelt Middle School
S1013,Deborah English,F,2010-08-04,6,2021-03-08,Lincoln Middle School
S1014,Audrey Floyd,F,2013-12-14,6,2021-04-24,Roosevelt Middle School
S1015,David Lopez,M,2012-09-18,8,2020-09-04,Roosevelt Middle School
S1016,Ashley Moore,Non-binary,2012-05-08,6,2022-05-25,Roosevelt Middle School
S1017,Joshua Mcclure,M,2012-06-24,8,2022-04-30,Lincoln Middle School
S1018,Elizabeth Spears,Non-binary,2013-08-27,8,2021-10-30,Lincoln Middle School
S1019,Brian Rodriguez,F,2012-01-25,8,2022-02-03,Lincoln Middle School
S1020,Diane Chandler,F,2013-02-28,6,2021-05-13,Lincoln Middle School
S1021,Eddie Stone,M,2014-04-21,8,2021-07-14,Roosevelt Middle School
S1022,Robert Bond,Non-binary,2011-12-17,8,2020-12-21,Roosevelt Middle School
S1023,Aaron Wheeler,M,2012-08-08,8,2021-02-19,Lincoln Middle School
S1024,Jesse Cunningham,F,2013-05-13,7,2022-02-23,Washington Middle School
S1025,Beth Leblanc,Non-binary,2011-06-21,6,2022-01-27,Roosevelt Middle School
S1026,Jessica Levine,Non-binary,2014-02-12,8,2021-11-05,Lincoln Middle School
S1027,Joseph Contreras,M,2011-07-09,6,2022-03-04,Washington Middle School
S1028,Samuel Jensen DVM,F,2010-10-14,6,2020-08-22,Washington Middle School
S1029,Karen Tucker,Non-binary,2010-09-16,6,2021-12-20,Lincoln Middle School
S1030,Michael Bridges,F,2011-03-22,6,2021-02-18,Roosevelt Middle School
S1031,Matthew Mann,M,2014-02-06,7,2022-03-14,Lincoln Middle School
S1032,Dennis Smith,M,2013-01-02,6,2020-06-19,Washington Middle School
S1033,Shelly Thomas,Non-binary,2011-11-17,8,2021-02-13,Lincoln Middle School
S1034,Erin Baker,F,2013-08-31,7,2022-01-09,Roosevelt Middle School
S1035,Gabrielle Nichols,M,2011-09-18,7,2020-07-19,Lincoln Middle School
S1036,Bridget Preston,M,2012-01-31,8,2020-08-11,Lincoln Middle School
S1037,Cody Frazier,M,2013-09-11,8,2020-11-21,Roosevelt Middle School
S1038,Steven Lee,F,2011-07-20,7,2021-05-08,Lincoln Middle School
S1039,Amanda Smith,M,2011-03-04,8,2021-10-21,Washington Middle School
S1040,Ellen Peters,Non-binary,2013-08-26,6,2021-01-18,Lincoln Middle School
S1041,Brian Russell,M,2014-05-09,7,2021-04-06,Roosevelt Middle School
S1042,Kelly Chan,F,2011-12-16,8,2022-03-30,Roosevelt Middle School
S1043,Tracy Wolfe,Non-binary,2011-08-16,6,2022-04-13,Roosevelt Middle School
S1044,Jesse Diaz,M,2011-12-03,7,2022-05-06,Lincoln Middle School
S1045,Michelle Gonzales,M,2014-03-01,6,2021-09-07,Washington Middle School
S1046,Angelica Mason,M,2013-05-01,7,2020-06-02,Washington Middle School
S1047,Laura Wilcox,M,2012-04-02,7,2021-05-08,Roosevelt Middle School
S1048,Mitchell Perry,Non-binary,2010-06-26,6,2022-04-29,Roosevelt Middle School
